tree,ssw,zul
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop he_Pron)) (AdvVPLight (UseV visit_V) (LocAdvAdv (LocNPAdv (DetCN (DetNum NumSg) (UseN home_N)))))))) NoVoc,uvakashile ekhaya,uvakashile ekhaya
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop he_Pron)) (AdvVP (UseV meet_V) (InstrNPAdv (DetCN (DetNum NumPl) (UseN child_2_N))))))) NoVoc,uhlangene ngebantfwana,uhlangene ngezingane
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop he_Pron)) (AdvVP (UseV play_V) (NaNPAdv (DetCN (DetNum NumPl) (UseN child_N))))))) NoVoc,udlele nebantfwana,udlele nabantwana
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop he_Pron)) (AdvVP (UseV talk_V) much_Adv)))) NoVoc,ukhulume kakhulu,ukhulume kakhulu
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop he_Pron)) (ComplV2 eat_V2 (UsePron (ProDrop he_Pron)))))) NoVoc,umudlile,umudlile
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop he_Pron)) (ComplV2Light call_V2 (DetCN (DetNum NumPl) (UseN child_N)))))) NoVoc,ubabitile bantfwana,ubabizile abantwana
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop he_Pron)) (ComplV2Light call_V2 (DetCN (DetNum NumSg) (UseN child_N)))))) NoVoc,umbitile umntfwana,umbizile umntwana
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop he_Pron)) (ComplV2 like_V2 (Deverb15 PPos (UseV eat_V)))))) NoVoc,utsandze kudla,uthande ukudla
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop he_Pron)) (ComplV2 receive_V2 (DetCN (DetNum NumPl) (PossNPLoc (UseN book_N) (DetCN (DetNum NumSg) (UseN home_N)))))))) NoVoc,wamukele tincwadzi tasekhaya,wamukele izincwadi zasekhaya
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop he_Pron)) (ComplV2 see_V2 (DetCN (DetNum NumPl) (UseN herd_boy_N)))))) NoVoc,ubone belusi,ubone abelusi
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop he_Pron)) (ComplV2 see_V2 (DetCN (DetNum NumSg) (UseN herd_boy_N)))))) NoVoc,ubone umalusi,ubone umalusi
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop he_Pron)) (CopNPAssoc (RelNP (DetCN (DetNum NumSg) (UseN dog_N)) (UseRCl TPresTemp PPos (RelVPShort IdRP (ComplV2 eat_V2 (DetCN (DetNum NumSg) (UseN meat_N)))))))))) NoVoc,ubenenja ledla inyama,ubenenja edla inyama
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop he_Pron)) (UseV descend_V)))) NoVoc,wehlile,wehlile
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (AdvVP (UseV go_V) (NaNPAdv (DetCN (DetNum NumPl) (UseN girl_N))))))) NoVoc,ngihambe netintfombi,ngihambe nezintombi
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (AdvVP (UseV go_V) (NaNPAdv (DetCN (DetNum NumSg) (UseN girl_N))))))) NoVoc,ngihambe nentfombi,ngihambe nentombi
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (AdvVP (UseV run_V) (JustLikeNPAdv (DetCN (DetNum NumSg) (UseN baboon_N))))))) NoVoc,ngigijime njengemfene,ngigijime njengemfene
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (ComplV2 call_V2 (DetCN (DetNum NumPl) (UseN boy_N)))))) NoVoc,ngibite bafana,ngibize abafana
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (ComplV2 like_V2 (Deverb15 PPos (UseV eat_V)))))) NoVoc,ngitsandze kudla,ngithande ukudla
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (ComplV2Nonspec want_V2 (PronPostdetNP they6_Pron (DemPostdet this_Quant)))))) NoVoc,ngifune wona la,ngifune wona lana
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (ComplV2 receive_V2 (DetCN (DetNum NumPl) (PossNPLoc (UseN book_N) (DetCN (DetNum NumSg) (UseN home_N)))))))) NoVoc,ngamukele tincwadzi tasekhaya,ngamukele izincwadi zasekhaya
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (ComplV2 receive_V2 (DetCN (DetNum NumSg) (PossNPLoc (UseN book_N) (DetCN (DetNum NumSg) (UseN home_N)))))))) NoVoc,ngamukele incwadzi yasekhaya,ngamukele incwadi yasekhaya
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (UseV return_V)))) NoVoc,ngibuyile,ngibuyile
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop i_Pron)) (UseV steal_V)))) NoVoc,ngebile,ngebile
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop it17_Pron)) (AdvVPLight (UseV burn_V) outside_Adv)))) NoVoc,kushisile phandle,kushisile phandle
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop it17_Pron)) (UseV burn_V)))) NoVoc,kushisile,kushisile
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop she_Pron)) (AdvVP (ComplV2Nonspec wash_V2 (DetCN (DetNum NumPl) (UseN clothing_N))) when_Adv)))) NoVoc,uhlante tembatfo nini,ugeze izingubo nini
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop she_Pron)) (ComplV2 see_V2 (RelNP (DetCN (DetNum NumPl) (UseN clay_pot_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA big_A))))))))) NoVoc,ubone tindziwo letinkhulu,ubone izinkamba ezinkulu
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop she_Pron)) (ComplV2 see_V2 (RelNP (DetCN (DetNum NumSg) (UseN clay_pot_N)) (UseRCl TPresTemp PPos (RelVP IdRP (CopAP (PositA big_A))))))))) NoVoc,ubone ludziwo lolukhulu,ubone ukhamba olukhulu
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop she_Pron)) (UseV work_V)))) NoVoc,usebentile,usebenzile
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop they_Pron)) (AdvVP (AdvVP (AdvVPLight (UseV go_2_V) (PositAdvAdj how_much_A)) yonder_Adv) in_the_afternoon_Adv)))) NoVoc,baye kangakhi laphayi ntsambama,baye kangaki laphaya ntambama
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop they_Pron)) (AdvVPLight (UseV visit_V) (LocAdvAdv (LocNPAdv (DetCN (DetNum NumSg) (UseN home_N)))))))) NoVoc,bavakashile ekhaya,bavakashile ekhaya
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop they_Pron)) (ComplV2 call_V2 (DetCN (DetNum NumPl) (UseN boy_N)))))) NoVoc,babite bafana,babize abafana
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop they_Pron)) (ComplV2Light call_V2 (DetCN (DetNum NumPl) (UseN child_N)))))) NoVoc,bababitile bantfwana,bababizile abantwana
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop they_Pron)) (ComplV2 roast_V2 (DetCN (DetNum NumSg) (UseN meat_N)))))) NoVoc,bose inyama,bose inyama
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop they_Pron)) (ComplV2 see_V2 (DetCN (DetNum NumPl) (PossNP (UseN goods_N) (UsePron youPl_Pron))))))) NoVoc,babone timpahla tenu,babone izimpahla zenu
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop they_Pron)) (UseV return_V)))) NoVoc,babuyile,babuyile
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop they_Pron)) (UseV steal_V)))) NoVoc,bebile,bebile
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (AdvVPLight (UseV go_V) now_Adv)))) NoVoc,sihambile manje,sihambile manje
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (AdvVP (UseV go_V) (NaNPAdv (DetCN (DetNum NumSg) (UseN girl_N))))))) NoVoc,sihambe nentfombi,sihambe nentombi
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (AdvVP (UseV talk_V) much_Adv)))) NoVoc,sikhulume kakhulu,sikhulume kakhulu
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (ComplV2Light call_V2 (DetCN (DetNum NumPl) (UseN child_N)))))) NoVoc,sibabitile bantfwana,sibabizile abantwana
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (ComplV2 like_V2 (Deverb15 PPos (UseV eat_V)))))) NoVoc,sitsandze kudla,sithande ukudla
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop we_Pron)) (UseV return_V)))) NoVoc,sibuyile,sibuyile
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop youPl_Pron)) (AdvVP (AdvVP (AdvVPLight (UseV go_2_V) (PositAdvAdj how_much_A)) yonder_Adv) in_the_afternoon_Adv)))) NoVoc,niye kangakhi laphayi ntsambama,niye kangaki laphaya ntambama
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop youPl_Pron)) (AdvVP (ComplV2Light see_V2 (UsePron (ProDrop he_Pron))) now_Adv)))) NoVoc,nimbonile manje,nimbonile manje
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop youPl_Pron)) (AdvVP (ComplV2Light see_V2 (UsePron (ProDrop youPl_Pron))) now_Adv)))) NoVoc,ninibonile manje,ninibonile manje
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop youPl_Pron)) (AdvVP (UseVStative tire_V) now_Adv)))) NoVoc,benidziniwe manje,benikhathele manje
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop youPl_Pron)) (ComplV2Light call_V2 (DetCN (DetNum NumPl) (UseN child_N)))))) NoVoc,nibabitile bantfwana,nibabizile abantwana
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop youPl_Pron)) (ComplV2Nonspec kiss_V2 (DetCN (DetNum NumPl) (UseN sister_N)))))) NoVoc,nange bodzadzewenu,nange odadewenu
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop youPl_Pron)) (ComplV2 receive_V2 (DetCN (DetNum NumPl) (PossNPLoc (UseN book_N) (DetCN (DetNum NumSg) (UseN home_N)))))))) NoVoc,namukele tincwadzi tasekhaya,namukele izincwadi zasekhaya
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop youPl_Pron)) (ComplV2 see_V2 (DetCN (DetNum NumPl) (PossNP (UseN goods_N) (UsePron youPl_Pron))))))) NoVoc,nibone timpahla tenu,nibone izimpahla zenu
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop youPl_Pron)) (ComplV2 want_V2 (PostdetCN (UseN meat_N) (QuantPostdet only_QuantStem) (DetNum NumSg)))))) NoVoc,nifune inyama yodvwa,nifune inyama yodwa
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop youPl_Pron)) (UseV descend_V)))) NoVoc,nehlile,nehlile
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop youPl_Pron)) (UseV return_V)))) NoVoc,nibuyile,nibuyile
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop youSg_Pron)) (AdvVPLight (UseV visit_V) (LocAdvAdv (LocNPAdv (DetCN (DetNum NumSg) (UseN home_N)))))))) NoVoc,uvakashile ekhaya,uvakashile ekhaya
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop youSg_Pron)) (AdvVP (UseV play_V) (NaNPAdv (DetCN (DetNum NumPl) (UseN child_N))))))) NoVoc,udlele nebantfwana,udlele nabantwana
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop youSg_Pron)) (AdvVP (UseV talk_V) much_Adv)))) NoVoc,ukhulume kakhulu,ukhulume kakhulu
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop youSg_Pron)) (ComplV2Light call_V2 (DetCN (DetNum NumPl) (UseN child_N)))))) NoVoc,ubabitile bantfwana,ubabizile abantwana
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop youSg_Pron)) (ComplV2Nonspec kiss_V2 (DetCN (DetNum NumPl) (UseN sister_N)))))) NoVoc,wange bodzadzewenu,wange odadewenu
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop youSg_Pron)) (ComplV2 play_V2 (DetCN (DetNum NumSg) (UseN soccer_N)))))) NoVoc,udlele libhola,udlele ibhola
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop youSg_Pron)) (ComplV2 receive_V2 (DetCN (DetNum NumPl) (PossNPLoc (UseN book_N) (DetCN (DetNum NumSg) (UseN home_N)))))))) NoVoc,wamukele tincwadzi tasekhaya,wamukele izincwadi zasekhaya
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop youSg_Pron)) (ComplV2 see_V2 (DetCN (DetNum NumPl) (UseN herd_boy_N)))))) NoVoc,ubone belusi,ubone abelusi
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop youSg_Pron)) (UseV descend_V)))) NoVoc,wehlile,wehlile
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop youSg_Pron)) (UseV return_V)))) NoVoc,ubuyile,ubuyile
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop youSg_Pron)) (UseVStative tire_2_V)))) NoVoc,ubukhatsele,ubukhathele
PhrUtt NoPConj (UttS (UseCl TPastTemp PPos (PredVP (UsePron (ProDrop youSg_Pron)) (UseV steal_V)))) NoVoc,webile,webile
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (PossNPLoc (UseN dog_N) (DetCN (DetNum NumSg) (UseN village_N)))) (UseV bark_V)))) NoVoc,tinja tasemtini atikhonkhotsi,izinja zasemzini azikhonkothi
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (PossNP (UseN dog_N) (DetCN (DetNum NumPl) (UseN village_N)))) (UseV bark_V)))) NoVoc,tinja temiti atikhonkhotsi,izinja zemizi azikhonkothi
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (PossNP (UseN dog_N) (DetCN (DetNum NumSg) (UseN village_N)))) (UseV bark_V)))) NoVoc,tinja temuti atikhonkhotsi,izinja zomuzi azikhonkothi
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (PossNP (UseN shirt_N) (UsePron she_Pron))) (CopAP (PositA spotted_R))))) NoVoc,emayembe akhe awamabalabala,amayembe akhe awamabalabala
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (PredetN (DemPredet that_Quant) old_woman_N)) (CopAP (PositA small_A))))) NoVoc,leto talukati atitimfishane,lezo zalukazi azizimfuphi
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (PredetN (DemPredet this_Quant) man_N)) (CopNPAssoc (DetCN (DetNum NumSg) (UseN wife_N)))))) NoVoc,lamadvodza awanamfati,la madoda awanamfazi
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN boy_N)) (ComplV2 refuse_V2 (Deverb15 PPos (UseV play_V)))))) NoVoc,bafana abali kudlala,abafana abali ukudlala
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN boy_N)) (CopLocative (LocAdvLoc (LocNPAdv (DetCN (DetNum NumSg) (UseN home_N)))))))) NoVoc,bafana abekho ekhaya,abafana abekho ekhaya
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN boy_N)) (CopNPEq (DetCN (DetNum NumSg) (UseN his_father_N)))))) NoVoc,bafana abanjengayise,abafana abanjengayise
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN builder_N)) (AdvVP (UseV build_V) here_Adv)))) NoVoc,bakhi abakhi lapha,abakhi abakhi lapha
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN builder_N)) (ComplV2 build_V2 (DetCN (DetNum NumSg) (UseN kraal_N)))))) NoVoc,bakhi abakhi sibaya,abakhi abakhi isibaya
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN girl_N)) (AdvVP (UseV gather_firewood_V) (LocAdvAdv (LocNPAdv (DetCN (DetNum NumSg) (UseN forest_N)))))))) NoVoc,tintfombi atitfoti ehlatsini,izintombi azithezi ehlathini
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN girl_N)) (ComplV2 refuse_V2 (Deverb15 PNeg (UseV play_V)))))) NoVoc,tintfombi atali kungadlali,izintombi azali ukungadlali
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN girl_N)) (ComplV2 refuse_V2 (Deverb15 PPos (UseV play_V)))))) NoVoc,tintfombi atali kudlala,izintombi azali ukudlala
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN girl_N)) (ComplV2 save_V2 (DetCN (DetNum NumSg) (UseN money_N)))))) NoVoc,tintfombi atongi imali,izintombi azongi imali
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN girl_N)) (CopNPEq (DetCN (DetNum NumSg) (UseN his_father_N)))))) NoVoc,tintfombi atinjengayise,izintombi azinjengayise
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN horse_N)) (AdvVP (UseV get_thin_V) quickly_Adv)))) NoVoc,emahhashi awondzi masinya,amahhashi awondi masinya
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN man_N)) (AdvVP (UseV cook_V) now_Adv)))) NoVoc,emadvodza awapheki manje,amadoda awapheki manje
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN man_N)) (AdvVP (UseV work_V) much_Adv)))) NoVoc,emadvodza awasebenti kakhulu,amadoda awasebenzi kakhulu
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN man_N)) (ComplV2Light see_V2 (DetCN (DetNum NumPl) (UseN village_N)))))) NoVoc,emadvodza awayiboni imiti,amadoda awayiboni imizi
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN man_N)) (ComplV2Light see_V2 (DetCN (DetNum NumSg) (UseN village_N)))))) NoVoc,emadvodza awawuboni umuti,amadoda awawuboni umuzi
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN man_N)) (UseV work_V)))) NoVoc,emadvodza awasebenti,amadoda awasebenzi
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN old_woman_N)) (AdvVP (ComplV2 cook_V2 (Deverb15 PPos (UseV eat_V))) here_Adv)))) NoVoc,talukati atipheki kudla lapha,izalukazi azipheki ukudla lapha
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN ox_N)) (CopAP (PositA red_R))))) NoVoc,tinkhabi atibovu,izinkabi azibomvu
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN person_N)) (AdvVP (UseV do_wrong_V) always_Adv)))) NoVoc,bantfu aboni njalo,abantu aboni njalo
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN scholar_N)) (ComplV2 read_V2 (DetCN (DetNum NumSg) (UseN book_N)))))) NoVoc,bafundi abafundzi incwadzi,abafundi abafundi incwadi
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN sore_N)) (AdvVP (UseV bleed_V) (PositAdvAdj bad_A))))) NoVoc,tilondza atophi kabi,izilonda azophi kabi
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN thief_N)) (ComplV2 break_V2 (DetCN (DetNum NumPl) (UseN window_N)))))) NoVoc,emaseta awephuli emafasitelo,amasela awephuli amafasitele
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN water_N)) (CopLocative khona_Loc)))) NoVoc,emanti awekho,amanzi awekho
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN woman_N)) (ComplV2 call_V2 (DetCN (DetNum NumPl) (UseN boy_N)))))) NoVoc,bafati ababiti bafana,abafazi ababizi abafana
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumPl) (UseN woman_N)) (ComplV2 call_V2 (DetCN (DetNum NumSg) (UseN boy_N)))))) NoVoc,bafati ababiti umfana,abafazi ababizi umfana
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumSg) (PossNPLoc (UseN dog_N) (DetCN (DetNum NumSg) (UseN village_N)))) (UseV bark_V)))) NoVoc,inja yasemtini ayikhonkhotsi,inja yasemzini ayikhonkothi
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumSg) (PossNP (UseN dog_N) (DetCN (DetNum NumPl) (UseN village_N)))) (UseV bark_V)))) NoVoc,inja yemiti ayikhonkhotsi,inja yemizi ayikhonkothi
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumSg) (PossNP (UseN shirt_N) (UsePron she_Pron))) (CopAP (PositA spotted_R))))) NoVoc,liyembe lakhe alimabalabala,iyembe lakhe alimabalabala
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumSg) (PredetN (DemPredet that_Quant) old_woman_N)) (CopAP (PositA small_A))))) NoVoc,leso salukati asisifishane,leso salukazi asisifuphi
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumSg) (PredetN (DemPredet this_Quant) man_N)) (CopNPAssoc (DetCN (DetNum NumSg) (UseN wife_N)))))) NoVoc,lendvodza ayinamfati,le ndoda ayinamfazi
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumSg) (PredetN (QuantPredet all_QuantStem) box_N)) (AdvVP (UseV fall_V) (LocAdvAdv (LocNPAdv (DetCN (DetNum NumPl) (UseN water_N)))))))) NoVoc,lonkhe libhokisi aliweli emantini,lonke ibhokisi aliweli emanzini
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumSg) (UseN boy_N)) (ComplV2 refuse_V2 (Deverb15 PPos (UseV play_V)))))) NoVoc,umfana akali kudlala,umfana akali ukudlala
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumSg) (UseN boy_N)) (CopLocative (LocAdvLoc (LocNPAdv (DetCN (DetNum NumSg) (UseN home_N)))))))) NoVoc,umfana akekho ekhaya,umfana akekho ekhaya
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumSg) (UseN boy_N)) (CopNPEq (DetCN (DetNum NumSg) (UseN his_father_N)))))) NoVoc,umfana akanjengayise,umfana akanjengayise
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumSg) (UseN builder_N)) (AdvVP (UseV build_V) here_Adv)))) NoVoc,umakhi akakhi lapha,umakhi akakhi lapha
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumSg) (UseN builder_N)) (ComplV2 build_V2 (DetCN (DetNum NumSg) (UseN kraal_N)))))) NoVoc,umakhi akakhi sibaya,umakhi akakhi isibaya
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumSg) (UseN builder_N)) (ComplV2 drink_V2 (DetCN (DetNum NumPl) (UseN water_N)))))) NoVoc,umakhi akanatsi emanti,umakhi akaphuzi amanzi
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumSg) (UseN elephant_N)) (CopNPEqSize (DetCN (DetNum NumSg) (UseN mountain_N)))))) NoVoc,indlovu ayingangantsaba,indlovu ayingangantaba
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumSg) (UseN girl_N)) (ComplV2 save_V2 (DetCN (DetNum NumSg) (UseN money_N)))))) NoVoc,intfombi ayongi imali,intombi ayongi imali
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumSg) (UseN girl_N)) (CopLocative (LocAdvLoc (LocNPAdv (DetCN (DetNum NumSg) (UseN home_N)))))))) NoVoc,intfombi ayikho ekhaya,intombi ayikho ekhaya
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumSg) (UseN girl_N)) (CopNPEq (DetCN (DetNum NumSg) (UseN his_father_N)))))) NoVoc,intfombi ayinjengayise,intombi ayinjengayise
PhrUtt NoPConj (UttS (UseCl TPresTemp PNeg (PredVP (DetCN (DetNum NumSg) (UseN grass_N)) (ComplVV refuse_VV (UseV burn_2_V))))) NoVoc,tjani abali kuvutsa,utshani abali ukuvutha
